"113年11月14日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"2421","建準","12,320,356","9,150","1,271,006,619","99.40","106.00","99.30","102.00","+","3.60","101.50","112","102.00","44","21.56",
"2423","固緯","139,901","300","5,939,866","42.05","43.05","42.00","42.20","-","0.15","42.15","3","42.40","2","16.29",
"2424","隴華","47,488","33","3,823,931","80.60","80.60","80.40","80.40","-","0.20","80.40","16","80.50","1","0.00",
"2425","承啟","1,254,026","1,010","52,649,448","42.65","43.10","41.50","41.50","-","1.55","41.50","30","41.55","2","345.83",
"2426","鼎元","1,773,488","989","35,898,854","20.25","20.55","20.10","20.10","-","0.30","20.10","16","20.15","8","59.12",
"2427","三商電","700,256","494","18,019,958","26.05","26.10","25.50","25.70","-","0.40","25.60","7","25.70","4","18.90",
"2428","興勤","234,070","377","37,936,983","163.50","165.00","161.00","161.00","-","3.00","161.00","24","161.50","5","13.63",
"2429","銘旺科","639,177","303","19,445,016","30.65","30.80","30.00","30.20","-","0.45","30.20","3","30.50","4","0.00",
"2430","燦坤","67,458","104","2,148,106","31.75","32.00","31.70","31.80","-","0.10","31.75","5","31.95","2","20.13",
"2431","聯昌","7,480,161","2,963","122,588,933","17.10","17.35","15.85","15.85","-","1.35","15.80","87","15.85","39","0.00",
"2432","倚天酷碁-創","19,015","19","633,795","33.60","33.80","33.10","33.15","-","0.60","33.15","1","34.00","4","15.86",
"2433","互盛電","39,139","39","1,959,884","50.10","50.20","50.00","50.10"," ","0.00","50.10","3","50.50","6","15.46",
"2434","統懋","10,036","7","321,996","31.80","32.20","31.80","31.95","+","0.05","31.95","2","32.10","2","46.30",
"2436","偉詮電","894,026","938","47,153,496","53.70","54.00","52.00","52.00","-","1.80","52.00","85","52.20","17","42.98",
"2438","翔耀","145,034","160","6,241,084","43.20","43.90","42.45","42.45","-","1.45","42.45","1","42.90","2","0.00",
"2439","美律","2,205,362","1,682","227,205,248","104.50","105.00","102.00","103.00","-","1.50","102.50","56","103.00","15","13.31",
"2440","太空梭","339,962","233","4,666,484","14.10","14.15","13.50","13.55","-","0.55","13.55","8","13.60","22","0.00",
"2441","超豐","1,335,070","1,224","74,316,491","56.30","56.30","55.40","55.40","-","0.90","55.30","75","55.50","16","13.29",
"2442","新美齊","855,952","540","20,923,301","24.80","24.80","24.15","24.20","-","0.55","24.20","7","24.25","25","12.94",
"2444","兆勁","2,008,594","808","30,360,974","15.05","15.40","14.90","15.00","-","0.65","15.00","17","15.10","2","0.00",
"2449","京元電子","21,978,767","14,864","2,777,734,987","129.00","131.00","124.00","126.00","-","2.50","125.50","7","126.00","227","21.07",
"2450","神腦","96,048","137","3,312,874","34.55","34.55","34.45","34.50","-","0.10","34.45","37","34.50","8","19.06",
"2451","創見","1,003,835","1,007","91,776,254","92.50","93.00","90.80","91.70","-","1.20","91.20","8","91.70","5","16.43",
"2453","凌群","567,197","606","30,080,757","53.70","54.10","52.20","52.20","-","1.50","52.20","1","52.50","5","17.58",
"2454","聯發科","4,605,044","11,474","5,717,344,476","1,260.00","1,265.00","1,230.00","1,235.00","-","20.00","1,235.00","124","1,240.00","40","18.18",
"2455","全新","9,741,148","8,637","1,505,211,414","158.50","160.00","150.50","151.00","-","5.50","151.00","12","151.50","102","38.42",
"2457","飛宏","1,494,483","1,501","60,346,143","41.00","41.30","40.00","40.00","-","1.10","40.00","24","40.05","15","80.00",
"2458","義隆","2,333,321","1,931","346,456,744","152.50","152.50","147.00","148.00","-","4.50","147.50","25","148.00","18","15.63",
"2459","敦吉","50,049","50","3,532,888","70.60","71.10","70.40","70.50","-","0.30","70.50","2","70.80","2","12.37",
"2460","建通","243,550","238","5,689,258","23.50","23.95","23.10","23.25","-","0.35","23.25","6","23.30","2","0.00",
"2461","光群雷","729,289","454","15,119,443","21.20","21.20","20.55","20.55","-","0.55","20.55","3","20.60","21","12.92",
"2462","良得電","374,229","305","9,990,183","27.10","27.15","26.50","26.50","-","0.55","26.50","22","26.55","1","21.54",
"2464","盟立","2,053,578","1,981","154,614,958","76.00","76.60","74.70","75.00","-","1.00","74.90","12","75.00","4","76.53",
"2465","麗臺","1,033,593","1,173","72,247,879","73.40","73.90","68.70","69.20","-","4.10","69.20","15","69.30","11","0.00",
"2466","冠西電","13,001","14","433,683","33.80","34.10","32.90","32.90","-","1.05","32.80","1","33.15","1","0.00",
"2467","志聖","4,223,500","5,642","886,033,504","216.50","220.50","206.50","207.50","-","9.00","207.50","34","208.00","3","49.17",
"2468","華經","118,323","96","2,624,669","22.55","22.60","22.05","22.05","-","0.20","22.05","6","22.10","1","23.97",
"2471","資通","98,532","128","4,602,896","47.35","47.35","46.50","46.50","-","0.80","46.50","23","46.55","5","17.42",
"2472","立隆電","2,154,633","1,629","163,907,782","74.10","77.10","74.00","76.30","+","2.40","76.20","5","76.30","3","11.79",
"2474","可成","2,709,732","2,088","590,177,317","218.50","221.00","214.00","214.00","-","3.50","214.00","117","214.50","6","16.65",
"2476","鉅祥","9,311,712","7,144","860,774,645","94.40","95.20","89.50","89.50","-","2.60","89.40","20","89.60","43","19.93",
"2477","美隆電","6,536,294","4,061","216,662,753","33.60","34.05","32.05","33.80","+","0.40","33.75","1","33.80","7","22.09",
"2478","大毅","164,310","160","7,543,388","46.05","46.30","45.65","46.00","-","0.05","45.95","4","46.00","1","18.93",
"2480","敦陽科","146,582","292","18,525,788","126.50","127.00","125.50","127.00"," ","0.00","127.00","3","127.50","5","17.21",
"2481","強茂","1,778,094","1,581","93,472,851","53.60","54.10","51.90","51.90","-","1.30","51.90","34","52.00","8","23.07",
"2482","連宇","363,991","342","10,267,674","28.55","28.75","27.70","27.70","-","0.85","27.70","7","27.80","2","44.68",
"2483","百容","96,563","77","2,177,371","22.70","22.70","22.40","22.40","-","0.40","22.40","9","22.50","22","74.67",
"2484","希華","392,327","347","10,631,534","27.45","27.60","26.50","26.90","-","0.55","26.90","2","27.00","2","35.87",
"2485","兆赫","518,304","479","8,767,061","17.00","17.15","16.75","16.75","-","0.30","16.75","36","16.80","9","0.00",
"2486","一詮","11,786,578","6,646","1,368,232,949","116.50","119.00","114.00","115.00","-","0.50","114.50","173","115.00","13","410.71",
"2488","漢平","799,087","686","41,122,982","52.00","52.20","50.70","51.40","-","0.60","51.30","8","51.40","5","11.03",
"2489","瑞軒","4,169,120","3,133","83,154,031","20.00","20.20","19.80","19.85","-","0.05","19.85","81","19.90","16","12.81",
"2491","吉祥全","79,234","61","1,020,191","13.15","13.15","12.75","12.85","-","0.30","12.85","6","12.90","3","0.00",
"2492","華新科","2,811,938","2,527","271,661,571","98.70","99.20","95.50","95.50","-","3.10","95.50","82","95.80","11","24.74",
"2493","揚博","2,001,284","1,705","221,795,276","113.50","114.50","109.00","109.00","-","4.00","109.00","19","109.50","1","18.54",
"2495","普安","7,644,387","5,228","285,923,884","38.80","38.80","36.30","36.65","-","1.90","36.60","4","36.65","1","21.56",
"2496","卓越","88,574","95","6,853,358","77.50","77.80","77.00","77.30","-","0.20","77.20","2","77.30","1","11.61",
"2497","怡利電","1,666,588","1,406","114,335,995","69.60","69.80","67.90","68.70","-","0.50","68.70","16","68.80","5","28.16",
"2498","宏達電","6,107,997","3,954","261,904,232","43.95","44.15","42.25","42.50","-","1.40","42.50","59","42.55","3","0.00",
"2501","國建","1,373,283","739","33,428,800","24.55","24.65","24.15","24.25","-","0.15","24.25","12","24.30","7","12.00",
"2504","國產","6,007,636","4,644","324,358,290","53.50","55.50","52.30","55.50","+","1.20","55.50","529","55.60","62","13.54",
"2505","國揚","333,084","216","6,960,005","21.20","21.20","20.80","20.80","-","0.50","20.80","23","20.85","2","29.71",
"2506","太設","804,597","388","9,365,208","11.85","11.85","11.45","11.50","-","0.35","11.45","16","11.50","28","4.87",
"2509","全坤建","470,887","494","8,045,260","17.50","17.85","16.80","16.80","-","0.70","16.80","1","16.90","8","210.00",
"2511","太子","880,101","383","9,220,409","10.50","10.60","10.40","10.40","-","0.10","10.40","168","10.45","31","45.22",
"2514","龍邦","396,154","256","8,195,559","20.65","21.05","20.55","20.55","-","0.05","20.55","9","20.60","6","5.27",
"2515","中工","8,244,623","2,990","86,477,494","10.60","10.65","10.40","10.40","-","0.30","10.40","938","10.45","250","22.61",
"2516","新建","590,181","300","7,766,606","13.05","13.30","13.00","13.00","-","0.10","13.00","6","13.05","39","22.81",
"2520","冠德","4,832,879","3,299","248,100,694","50.20","51.90","50.20","51.70","+","1.30","51.60","2","51.80","142","5.14",
"2524","京城","714,887","980","55,619,391","78.30","79.10","77.20","77.30","-","0.70","77.20","12","77.30","1","25.34",
"2527","宏璟","1,417,812","1,254","49,771,392","34.20","35.95","34.00","35.30","+","1.15","35.25","2","35.30","15","28.70",
"2528","皇普","272,560","192","9,943,042","37.05","37.05","36.20","36.20","-","0.30","36.20","2","36.25","5","0.00",
"2530","華建","427,025","323","16,980,626","39.15","40.40","39.15","39.35","+","0.10","39.35","4","39.75","13","18.39",
"2534","宏盛","1,282,670","927","32,608,735","25.85","26.00","25.00","25.00","-","1.20","25.00","40","25.05","3","86.21",
"2535","達欣工","361,003","370","17,624,469","49.00","49.15","48.60","48.60","-","0.40","48.60","41","48.65","11","10.21",
"2536","宏普","148,478","103","4,264,079","28.85","29.05","28.55","28.60","-","0.40","28.60","14","28.65","1","16.82",
"2537","聯上發","1,183,641","609","16,319,179","14.10","14.10","13.60","13.65","-","0.30","13.65","11","13.70","23","23.53",
"2538","基泰","334,303","166","5,316,670","15.95","16.05","15.85","15.85","-","0.25","15.85","34","15.90","5","0.00",
"2539","櫻花建","474,034","413","23,636,264","50.00","50.10","49.60","49.95","-","0.05","49.95","12","50.00","5","41.28",
"2540","愛山林","1,480,716","894","126,481,967","85.30","86.30","84.50","86.10","+","0.40","86.00","2","86.20","2","22.54",
"2542","興富發","3,459,090","2,910","147,069,430","42.95","42.95","42.20","42.55","-","0.25","42.55","4","42.60","22","25.63",
"2543","皇昌","9,881,314","6,766","830,964,383","81.70","86.70","81.40","84.00","+","2.40","84.00","67","84.10","17","17.83",
"2545","皇翔","1,136,803","1,304","76,401,675","66.90","68.70","66.50","67.40","+","0.70","67.40","5","67.50","40","6.71",
"2546","根基","97,201","204","7,103,773","73.10","73.50","72.70","73.30","-","0.40","73.30","1","73.50","3","11.33",
"2547","日勝生","1,225,868","541","11,644,426","9.55","9.62","9.45","9.45","-","0.12","9.44","10","9.45","21","0.00",
"2548","華固","1,019,508","981","125,857,403","123.50","124.50","122.00","123.50"," ","0.00","123.50","2","124.00","56","12.54",
"2597","潤弘","374,168","1,014","53,643,508","144.00","145.50","141.50","142.00","-","1.00","141.50","7","142.00","3","15.04",
"2601","益航","2,513,959","1,010","19,719,671","7.91","7.95","7.73","7.73","-","0.18","7.73","17","7.74","105","0.00",
"2603","長榮","36,843,757","22,051","8,125,675,406","221.00","223.00","218.00","220.00","+","0.50","220.00","382","220.50","126","4.23",
"2605","新興","8,257,913","4,177","232,714,410","28.30","28.60","27.85","27.90","-","0.35","27.90","48","27.95","78","11.58",
"2606","裕民","9,790,657","6,271","589,317,700","59.70","60.50","59.30","60.50","+","1.00","60.40","10","60.50","368","11.02",
"2607","榮運","1,154,507","627","35,153,821","30.60","30.60","30.20","30.45","+","0.05","30.45","3","30.50","11","13.59",
"2608","嘉里大榮","204,949","188","8,021,048","39.25","39.35","39.00","39.00","-","0.35","39.00","86","39.25","1","16.53",
"2609","陽明","42,829,838","21,291","3,056,398,053","71.50","72.20","70.60","70.80","-","0.50","70.80","249","70.90","407","4.91",
"2610","華航","36,223,396","10,889","852,551,626","23.45","23.75","23.30","23.45","+","0.10","23.40","377","23.45","89","13.79",
"2611","志信","1,460,347","942","33,518,243","23.25","23.45","22.70","22.70","-","0.90","22.70","70","22.75","1","7.72",
"2612","中航","528,475","381","24,124,603","45.65","46.15","45.25","45.25","-","0.50","45.25","1","45.45","10","19.09",
"2613","中櫃","3,340,255","2,442","115,450,948","34.90","35.60","33.70","33.70","-","1.00","33.70","13","33.75","3","27.85",
"2614","東森","765,276","541","13,809,160","18.20","18.30","17.90","18.15"," ","0.00","18.15","6","18.20","13","0.00",
"2615","萬海","24,944,404","15,278","2,257,015,430","91.00","91.50","89.40","89.80","-","0.80","89.70","231","89.80","2","8.19",
"2616","山隆","144,075","207","2,897,767","20.20","20.25","20.05","20.05","-","0.15","20.00","45","20.10","2","0.00",
"2617","台航","944,751","574","30,571,045","32.55","32.65","32.10","32.15","-","0.35","32.15","12","32.25","1","10.94",
"2618","長榮航","97,044,089","35,636","3,930,501,569","39.95","40.90","39.75","40.50","+","0.65","40.45","189","40.50","189","8.20",
"2630","亞航","397,050","318","12,208,627","31.10","31.20","30.60","30.60","-","0.50","30.60","106","30.65","1","44.35",
"2633","台灣高鐵","2,883,277","1,809","82,127,591","28.50","28.65","28.40","28.40","-","0.10","28.40","334","28.50","9","20.14",
"2634","漢翔","5,423,164","3,990","238,147,612","44.85","45.10","43.50","43.50","-","1.40","43.50","107","43.55","12","21.64",
"2636","台驊控股","1,224,385","1,515","103,520,382","86.80","86.80","83.00","83.80","-","2.20","83.80","12","83.90","3","10.29",
"2637","慧洋-KY","5,990,567","4,272","481,070,863","80.30","81.00","79.30","80.20","+","0.30","79.90","13","80.20","1","9.66",
"2642","宅配通","267,555","482","10,134,774","38.20","38.65","37.50","37.50","-","0.90","37.50","62","37.55","1","78.12",
"2645","長榮航太","736,582","997","67,916,300","93.10","93.30","91.70","91.80","-","1.80","91.80","25","91.90","8","20.40",
"2646","星宇航空","12,233,255","7,203","344,069,213","28.35","28.45","27.90","27.95","-","0.35","27.95","180","28.00","203","99.82",
"2701","萬企","97,420","53","1,236,699","12.70","12.75","12.65","12.70","-","0.05","12.65","32","12.70","2","21.17",
"2702","華園","65,424","75","1,115,361","17.10","17.20","17.00","17.05","-","0.05","17.05","1","17.10","1","0.00",
"2704","國賓","110,713","118","6,206,770","56.50","57.00","55.50","55.70","-","1.10","55.60","14","55.80","2","18.88",
"2705","六福","308,196","267","5,488,124","17.85","17.95","17.60","17.60","-","0.25","17.55","36","17.60","5","80.00",
"2706","第一店","106,795","123","1,592,577","14.95","15.05","14.85","14.85","-","0.10","14.85","56","14.90","2","22.16",
"2707","晶華","141,687","283","27,894,892","197.50","198.00","196.00","196.00","-","1.50","196.00","31","196.50","1","18.39",
"2712","遠雄來","10,019","7","246,234","24.80","24.80","24.50","24.70","+","0.15","24.30","1","24.35","3","0.00",
"2722","夏都","182,565","172","7,014,888","38.90","39.05","37.45","38.90"," ","0.00","38.90","8","38.95","1","194.50",
"2723","美食-KY","406,942","492","36,535,068","90.60","90.90","89.10","89.20","-","1.30","89.20","2","89.30","5","39.64",
"2727","王品","457,737","4,385","107,071,729","237.00","237.50","231.50","231.50","-","6.50","231.00","12","231.50","3","14.79",
"2731","雄獅","1,115,077","1,587","134,018,348","123.50","123.50","119.00","119.00","-","3.00","119.00","61","119.50","14","7.34",
"2739","寒舍","338,304","326","17,331,612","52.20","52.50","50.60","50.80","-","1.20","50.80","5","50.90","6","7.86",
"2748","雲品","136,403","151","7,773,270","57.10","57.70","56.70","56.70","-","0.60","56.60","9","56.70","4","19.69",
"2753","八方雲集","396,404","748","58,069,103","148.00","148.00","145.50","146.00","-","2.00","146.00","6","146.50","6","17.08",
"2762","世界健身-KY","348,449","477","33,023,699","96.00","96.20","93.80","94.90","-","0.40","94.40","5","94.90","2","30.03",
"2801","彰銀","14,546,962","3,300","255,399,396","17.50","17.65","17.50","17.55","+","0.05","17.50","4,844","17.55","252","14.04",
"2809","京城銀","2,662,247","1,740","127,746,305","47.95","48.40","47.60","47.90","-","0.25","47.90","41","48.10","63","9.54",
"2812","台中銀","3,003,907","1,947","53,074,660","17.65","17.70","17.65","17.65","-","0.05","17.65","454","17.70","59","11.77",
"2816","旺旺保","300,965","187","9,433,175","31.65","31.70","31.10","31.20","-","0.45","31.20","32","31.25","3","6.98",
"2820","華票","775,028","508","11,560,574","14.90","14.95","14.85","14.90"," ","0.00","14.85","299","14.90","11","15.52",
"2832","台產","178,978","148","5,043,404","28.20","28.30","28.10","28.20","+","0.05","28.20","15","28.25","5","9.16",
"2834","臺企銀","12,038,033","5,564","177,930,902","14.70","14.90","14.70","14.75","+","0.05","14.75","343","14.80","92","12.19",
"2836","高雄銀","1,545,045","863","17,808,128","11.55","11.60","11.45","11.50","-","0.10","11.45","275","11.50","9","23.96",
"2836A","高雄銀甲特","10,000","5","215,600","21.55","21.60","21.55","21.60","+","0.05","21.55","4","21.65","3","0.00",
"2838","聯邦銀","1,591,711","807","23,976,390","15.05","15.15","15.00","15.00","-","0.10","15.00","566","15.10","1","12.82",
"2838A","聯邦銀甲特","130,100","40","6,857,060","52.70","53.00","52.60","52.90"," ","0.00","52.80","1","52.90","3","0.00",
"2845","遠東銀","4,195,491","1,815","54,919,466","13.15","13.20","13.05","13.10","-","0.10","13.05","1,142","13.10","18","13.10",
"2849","安泰銀","161,150","78","2,261,107","14.05","14.10","14.00","14.00","-","0.10","14.00","30","14.05","2","18.92",
"2850","新產","367,701","494","35,812,684","97.80","98.60","96.50","98.30","+","0.30","97.80","3","98.30","2","9.55",
"2851","中再保","2,802,122","1,419","70,844,109","25.40","25.45","25.20","25.30","-","0.20","25.25","41","25.30","1","7.62",
"2852","第一保","449,484","268","10,821,467","24.00","24.20","23.95","24.05"," ","0.00","24.05","6","24.10","10","7.96",
"2855","統一證","1,404,462","924","37,200,434","26.55","26.65","26.35","26.55"," ","0.00","26.45","20","26.55","1","9.58",
"2867","三商壽","8,978,728","2,211","62,640,501","6.98","7.04","6.93","6.95","-","0.05","6.95","61","6.96","2","0.00",
"2880","華南金","12,018,523","6,158","303,529,673","25.30","25.40","25.10","25.25","-","0.20","25.20","112","25.25","62","15.40",
"2881","富邦金","18,182,110","10,746","1,643,024,159","90.60","91.40","90.00","90.30","-","0.70","90.20","154","90.30","89","12.65",
"2881A","富邦特","55,852","32","3,500,680","62.70","62.80","62.60","62.80","+","0.10","62.60","10","62.80","56","0.00",
"2881B","富邦金乙特","40,162","33","2,402,189","59.80","60.00","59.70","60.00","+","0.10","59.70","43","60.00","11","0.00",
"2881C","富邦金丙特","95,557","95","5,045,026","52.70","52.90","52.70","52.80","+","0.10","52.80","6","52.90","1","0.00",
"2882","國泰金","26,753,611","9,514","1,778,216,787","66.50","67.10","66.10","66.20","-","0.60","66.20","235","66.30","103","11.89",
"2882A","國泰特","56,204","23","3,405,539","60.60","60.60","60.50","60.60"," ","0.00","60.50","100","60.60","1","0.00",
"2882B","國泰金乙特","122,425","88","7,210,865","58.90","59.00","58.90","58.90"," ","0.00","58.90","4","59.00","10","0.00",
"2883","凱基金","39,490,818","7,391","665,175,365","16.90","17.00","16.75","16.85","-","0.05","16.80","3,203","16.85","90","12.04",
"2883B","凱基金乙特","2,163,835","480","16,995,463","7.90","7.91","7.83","7.87","-","0.05","7.84","21","7.87","5","0.00",
"2884","玉山金","39,180,544","14,652","1,050,295,675","27.00","27.10","26.70","26.70","-","0.40","26.70","1,831","26.75","10","15.99",
"2885","元大金","21,353,966","6,535","697,286,313","32.65","32.85","32.35","32.70","+","0.05","32.65","6","32.70","37","14.16",
"2886","兆豐金","19,672,134","10,083","769,072,546","38.95","39.35","38.90","39.00","-","0.30","39.00","66","39.10","1","16.12",
"2887","台新金","47,514,401","11,626","804,563,075","17.00","17.05","16.80","16.85","-","0.20","16.85","139","16.90","274","14.04",
"2887E","台新戊特","41,059","23","2,093,196","50.90","51.00","50.90","51.00"," ","0.00","50.90","42","51.00","16","0.00",
"2887F","台新戊特二","3,056","5","139,439","45.60","45.70","45.60","45.70","+","0.10","45.65","1","45.85","1","0.00",
"2887Z1","台新己特","13,488","5","216,656","16.10","16.10","16.05","16.05","-","0.05","16.05","10","16.10","1","0.00",
"2888","新光金","58,406,741","5,922","654,406,255","11.25","11.30","11.15","11.20","-","0.05","11.15","12,939","11.20","76","9.11",
"2888A","新光金甲特","5,056","8","179,225","35.45","35.45","35.45","35.45"," ","0.00","35.40","1","35.45","1","0.00",
"2888B","新光金乙特","113,689","53","4,018,151","35.40","35.40","35.20","35.20","-","0.20","35.25","2","35.35","12","0.00",
"2889","國票金","6,058,189","2,010","86,210,470","14.20","14.40","14.10","14.20","-","0.05","14.15","58","14.20","56","23.28",
"2890","永豐金","28,763,095","7,027","655,335,978","22.75","23.00","22.60","22.70","-","0.15","22.70","479","22.80","26","12.82",
"2891","中信金","52,753,086","13,506","1,934,419,498","36.45","36.90","36.45","36.65","+","0.10","36.60","192","36.65","69","11.45",
"2891B","中信金乙特","24,286","16","1,473,403","60.50","60.70","60.50","60.70"," ","0.00","60.60","29","60.70","4","0.00",
"2891C","中信金丙特","96,395","28","5,381,924","55.80","56.00","55.70","56.00","+","0.10","55.70","10","55.90","25","0.00",
"2892","第一金","33,662,022","13,827","886,668,436","26.50","26.60","26.20","26.20","-","0.40","26.20","452","26.25","3","15.50",
"2897","王道銀行","3,501,952","1,069","34,127,966","9.77","9.80","9.71","9.73","-","0.06","9.72","282","9.73","10","12.16",
"2897B","王道銀乙特","120,969","33","1,409,337","11.65","11.65","11.65","11.65","-","0.05","11.65","70","11.70","50","0.00",
"2901","欣欣","31,281","55","876,672","28.10","28.50","27.80","27.80","-","0.30","27.80","7","27.85","1","64.65",
"2903","遠百","1,293,711","1,035","33,057,067","25.55","25.70","25.45","25.60","-","0.10","25.55","7","25.60","1","17.42",
"2904","匯僑","96,343","47","1,754,692","18.05","18.30","18.00","18.15","+","0.10","18.15","2","18.20","2","18.71",
"2905","三商","2,552,425","1,297","41,806,051","16.80","16.90","15.95","16.30","-","0.45","16.30","29","16.35","30","0.00",
"2906","高林","630,629","1,178","11,160,940","17.90","17.90","17.50","17.70","-","0.25","17.65","26","17.80","10","34.71",
"2908","特力","423,971","164","8,500,246","20.10","20.15","19.95","20.10","-","0.05","20.05","3","20.10","1","35.89",
"2910","統領","46,000","26","1,134,650","24.35","25.00","24.35","24.60","+","0.10","24.60","2","24.65","2","20.67",
"2911","麗嬰房","127,354","187","1,150,147","9.10","9.10","8.95","8.95","-","0.20","8.95","4","9.00","9","0.00",
"2912","統一超","1,575,468","2,569","422,907,928","269.00","270.50","268.00","268.00","-","1.00","268.00","128","268.50","1","24.25",
"2913","農林","1,669,460","787","33,714,096","20.50","20.50","20.05","20.10","-","0.25","20.10","14","20.15","10","0.00",
"2915","潤泰全","5,308,229","4,169","406,172,399","78.00","78.20","75.80","76.20","-","1.80","76.20","8","76.30","26","10.31",
"2923","鼎固-KY","231,464","210","6,326,556","28.25","28.25","26.60","27.20","-","1.35","27.20","2","27.65","3","66.34",
"2929","淘帝-KY","4,789,474","2,469","64,051,590","13.10","13.75","12.95","13.30","+","0.50","13.30","16","13.35","7","0.00",
"2939","永邑-KY","59,003","39","2,023,002","34.50","34.50","34.00","34.25","+","0.30","34.00","3","34.35","2","0.00",
"2945","三商家購","17,205","21","714,935","42.00","42.00","41.40","41.45","-","0.15","41.40","2","41.85","2","21.04",
"3002","歐格","107,504","70","1,634,364","15.40","15.40","15.10","15.15","-","0.15","15.15","2","15.20","4","89.12",
"3003","健和興","6,752,618","6,283","534,314,618","82.00","82.30","77.30","78.00","-","4.00","77.90","1","78.00","20","22.16",
"3004","豐達科","84,673","334","7,448,029","88.50","88.80","87.60","87.60","-","0.90","87.60","1","87.70","1","13.09",
"3005","神基","1,689,844","1,421","192,338,776","114.00","116.00","112.50","113.50","-","1.00","113.00","10","113.50","28","16.43",
"3006","晶豪科","2,748,635","2,236","184,512,624","69.00","69.00","66.60","66.80","-","1.70","66.80","16","66.90","1","0.00",
"3008","大立光","588,871","2,506","1,374,475,190","2,355.00","2,370.00","2,310.00","2,315.00","-","40.00","2,315.00","7","2,320.00","1","13.92",
"3010","華立","1,030,326","927","123,643,111","121.00","122.00","119.00","119.00","-","2.00","119.00","113","120.00","8","14.35",
"3011","今皓","1,038,666","824","26,715,502","25.50","26.30","25.25","25.95","+","0.30","25.95","16","26.00","2","0.00",
"3013","晟銘電","32,983,848","21,559","5,493,178,597","168.00","172.00","162.00","162.00","-","2.50","162.00","306","162.50","306","66.12",
"3014","聯陽","1,160,734","1,230","165,289,641","145.00","145.50","141.00","142.00","-","2.50","142.00","7","142.50","5","14.45",
"3015","全漢","17,072,005","11,423","1,136,661,532","69.70","70.30","64.10","65.00","-","1.70","65.00","16","65.10","2","30.81",
"3016","嘉晶","368,122","331","19,997,697","55.10","55.60","53.80","53.80","-","1.30","53.80","6","53.90","6","55.46",
"3017","奇鋐","10,804,194","12,409","7,359,676,864","680.00","694.00","670.00","685.00","+","24.00","684.00","24","685.00","48","35.36",
"3018","隆銘綠能","306,571","275","10,239,954","32.60","35.50","32.60","32.70","+","0.10","32.65","8","32.70","3","0.00",
"3019","亞光","4,573,009","3,317","477,556,985","106.50","107.00","103.00","104.00","-","2.50","103.50","196","104.00","32","19.12",
"3021","鴻名","1,496,218","1,093","46,499,553","31.10","31.95","30.10","31.25","+","1.25","31.25","13","31.30","14","19.78",
"3022","威強電","622,639","461","46,027,810","74.00","74.80","73.40","73.40","-","0.60","73.40","4","73.80","1","10.91",
"3023","信邦","1,686,749","1,686","428,308,705","254.00","257.00","251.00","251.00","-","2.50","250.50","29","251.00","93","17.74",
"3024","憶聲","9,910,111","2,068","198,783,856","19.90","20.40","19.55","19.65","-","0.40","19.65","26","19.70","98","75.58",
"3025","星通","3,837,296","2,912","301,403,943","79.20","80.80","76.80","76.80","-","2.40","76.80","83","76.90","2","17.49",
"3026","禾伸堂","95,640","135","8,564,470","89.80","90.00","89.20","90.00","-","0.10","89.40","1","90.00","7","18.26",
"3027","盛達","1,252,160","882","43,390,475","34.40","36.00","33.95","34.15","+","0.05","34.15","2","34.20","30","0.00",
"3028","增你強","487,447","381","15,370,971","31.75","31.95","31.30","31.80","+","0.05","31.65","7","31.80","2","23.91",
"3029","零壹","1,107,731","1,045","110,211,206","100.50","100.50","98.50","99.90","+","0.30","99.90","8","100.00","9","21.39",
"3030","德律","1,190,949","1,184","162,282,389","140.00","141.00","134.00","134.50","-","4.50","134.50","30","135.00","12","20.01",
"3031","佰鴻","650,787","414","13,473,446","20.70","21.00","20.50","20.50","-","0.20","20.50","17","20.55","12","14.75",
"3032","偉訓","1,669,682","1,333","106,307,870","66.00","66.20","62.40","63.40","-","2.40","63.40","2","63.50","8","12.36",
"3033","威健","1,979,406","1,397","67,235,324","34.30","34.30","33.70","34.00","-","0.25","33.90","1","34.00","4","14.23",
"3034","聯詠","4,704,450","6,523","2,264,663,878","490.00","490.00","478.00","478.50","-","12.50","478.50","49","479.00","35","13.95",
"3035","智原","4,478,229","4,246","991,407,464","224.00","226.50","218.50","220.00","-","2.00","220.00","15","220.50","6","50.93",
"3036","文曄","2,972,968","2,132","324,893,554","109.50","110.50","108.00","110.00","+","1.00","109.50","12","110.00","73","18.06",
"3036A","文曄甲特","313,332","131","15,450,044","49.30","49.35","49.25","49.35","+","0.05","49.35","63","49.40","37","0.00",
"3037","欣興","14,952,350","11,281","2,489,731,673","168.50","170.00","164.00","166.00","-","3.50","166.00","33","166.50","132","31.86",
"3038","全台","343,613","294","9,191,439","26.60","26.90","26.60","26.70"," ","0.00","26.70","8","26.75","3","11.66",
"3040","遠見","213,734","189","9,374,984","44.20","44.30","43.50","43.90","-","0.25","43.90","2","44.00","4","59.32",
"3041","揚智","612,978","3,430","17,073,848","28.40","28.50","27.50","27.50","-","1.15","27.50","9","27.60","1","0.00",
"3042","晶技","1,781,537","1,594","198,095,319","113.50","113.50","110.00","111.50","-","1.50","111.00","1","111.50","96","19.36",
