"113年11月14日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"數位雲端類報酬指數","66.96","-","0.37","-0.55","",
"運動休閒類報酬指數","102.93","-","0.28","-0.27","",
"居家生活類報酬指數","129.51","-","2.79","-2.11","",
"其他類報酬指數","599.96","-","9.12","-1.50","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","4,615.64","-","63.03","-1.35","",
"臺灣中小型公司治理報酬指數","14,039.81","-","159.11","-1.12","",
"臺灣IPO報酬指數","6,501.15","-","136.93","-2.06","",
"智慧中立報酬指數","4,845.64","-","28.33","-0.58","",
"加權指數掩護性臺指買權價外5%報酬指數","9,740.31","-","60.96","-0.62","",
"臺灣5G報酬指數","13,378.21","-","154.80","-1.14","",
"臺灣企業社會責任中小型報酬指數","14,839.31","-","95.84","-0.64","",
"特選臺灣電動車代表報酬指數","12,270.28","-","154.71","-1.25","",
"臺灣5G+通訊報酬指數","11,896.75","-","127.44","-1.06","",
"臺灣全市場報酬指數","8,991.90","-","66.17","-0.73","",
"臺灣全市場半導體報酬指數","8,741.56","-","102.36","-1.16","",
"臺灣智慧移動與電動車報酬指數","6,724.58","-","68.79","-1.01","",
"特選小資高價30報酬指數","9,098.29","-","51.77","-0.57","",
"特選臺灣綠能及電動車報酬指數","7,134.36","-","85.06","-1.18","",
"特選臺灣智能車供應鏈聯盟報酬指數","8,395.68","-","72.09","-0.85","",
"臺灣全市場半導體精選30報酬指數","6,718.48","-","73.67","-1.08","",
"特選臺灣高股息30報酬指數","6,896.08","-","83.47","-1.20","",
"臺灣友善環境報酬指數","7,943.24","-","42.11","-0.53","",
"台灣永續價值報酬指數","7,001.41","-","39.15","-0.56","",
"特選臺灣IC設計報酬指數","4,797.17","-","56.75","-1.17","",
"特選臺灣環境永續高股息報酬指數","8,993.67","-","92.54","-1.02","",
"臺灣友善環境50報酬指數","6,706.81","-","48.43","-0.72","",
"特選臺灣IC設計產業代表報酬指數","6,362.47","-","81.23","-1.26","",
"特選臺灣綠能報酬指數","5,942.85","-","59.70","-0.99","",
"特選臺灣智慧50報酬指數","6,155.24","-","31.90","-0.52","",
"臺灣晶圓製造報酬指數","6,773.86","-","75.68","-1.10","",
"臺灣精選高息報酬指數","7,066.02","-","56.01","-0.79","",
"臺灣多因子優選高股息30報酬指數","10,272.42","-","103.65","-1.00","",
"特選臺灣優利高填息30報酬指數","9,224.68","-","59.98","-0.65","",
"特選臺灣科技優息報酬指數","9,439.10","-","147.30","-1.54","",
"臺灣半導體收益報酬指數","7,205.12","-","103.76","-1.42","",
"臺灣優選成長高股息報酬指數","8,220.72","-","105.39","-1.27","",
"特選臺灣ESG低碳高息40報酬指數","8,865.37","-","127.56","-1.42","",
"臺灣優選多因子30報酬指數","9,365.53","-","70.90","-0.75","",
"臺灣創新科技50報酬指數","7,989.19","-","81.24","-1.01","",
"臺灣全市場新經濟產業報酬指數","5,137.98","-","32.88","-0.64","",
"臺灣ESG永續高股息等權重報酬指數","6,649.07","-","86.62","-1.29","",
"臺灣永續高息中小型報酬指數","5,959.35","-","40.06","-0.67","",
"特選臺灣高息優質成長報酬指數","6,184.68","-","44.89","-0.72","",
"特選臺灣高息動能報酬指數","6,785.96","-","62.55","-0.91","",
"臺灣電子成長高息等權重報酬指數","6,128.59","-","33.39","-0.54","",
"特選臺灣優利成長報酬指數","5,342.46","-","30.77","-0.57","",
"臺灣價值高息報酬指數","5,734.55","-","52.00","-0.90","",
"特選臺灣IC設計動能報酬指數","4,708.10","-","81.11","-1.69","",
"臺灣科技高股息報酬指數","5,374.47","-","66.58","-1.22","",
"臺灣趨勢動能高股息報酬指數","5,841.95","-","48.93","-0.83","",
"特選臺灣科技高息成長報酬指數","5,270.80","-","72.06","-1.35","",
"特選臺灣AI優息動能報酬指數","5,034.37","-","63.54","-1.25","",
"臺灣優選AI 50報酬指數","4,964.13","-","70.46","-1.40","",
"臺灣AI供應鏈聯盟報酬指數","5,540.43","-","14.41","-0.26","",
"台灣旗艦動能50報酬指數","5,154.26","-","63.27","-1.21","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","14,525.48","-","168.64","-1.15","",
"藍籌30報酬指數","14,519.95","-","109.71","-0.75","",
"工業菁英30報酬指數","15,358.58","-","143.97","-0.93","",
"低波動股利精選30報酬指數","11,606.80","-","70.68","-0.61","",
"中小型A級動能50報酬指數","30,016.85","-","560.21","-1.83","",
"特選高息低波報酬指數","15,444.90","-","90.96","-0.59","",
"臺灣永續報酬指數","16,278.28","-","113.30","-0.69","",
"價值投資報酬指數","11,484.34","-","79.32","-0.69","",
"存股雙十等權重報酬指數","13,308.93","-","131.35","-0.98","",
"特選大蘋果報酬指數","14,995.04","-","250.01","-1.64","",
"中小型300報酬指數","14,300.04","-","131.57","-0.91","",
"臺灣500報酬指數","14,192.72","-","102.48","-0.72","",
"臺灣勞工權益報酬指數","12,873.89","-","117.44","-0.90","",
"微波高息精選20報酬指數","11,499.30","-","103.09","-0.89","",
"特選世代行動通訊報酬指數","10,603.41","-","103.65","-0.97","",
"智慧投資多因子30報酬指數","9,899.72","-","77.14","-0.77","",
"特選大蘋果報酬正向兩倍指數","41,301.02","-","1,400.56","-3.28","",
"特選大蘋果報酬反向一倍指數","3,401.99","+","54.89","1.64","",
"特選價值成長報酬指數","13,467.79","+","35.92","0.27","",
